# Official SEC N-PORT invstOrSec extract for SPSK accession 0002000324-26-003239 as-of 2026-05-31
# columns: name lei title cusip isin maturityDt pctVal valUSD curCd issuerCat assetCat invCountry
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	N/A	XS2626274463	2033-05-22	1.654955638922748	8784908.54	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	N/A	XS2829208169	2034-06-04	1.2694330247504297	6738460.39	USD	CORP	DBT	AF
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	N/A	XS2829208599	2030-06-04	0.8703106479520473	4619821.38	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	N/A	XS2830523465	2027-06-04	0.7199526120588485	3821684.22	USD	CORP	DBT	KY
Ma'aden Sukuk Ltd	N/A	Ma'aden Sukuk Ltd	55407NAD4	US55407NAD49	2036-01-29	0.4904633869315657	2603499.39	USD	CORP	DBT	US
Ma'aden Sukuk Ltd	N/A	Ma'aden Sukuk Ltd	N/A	XS2998746213	2030-02-13	0.44128746847825007	2342461.61	USD	CORP	DBT	SA
Ma'aden Sukuk Ltd	N/A	Ma'aden Sukuk Ltd	N/A	XS2998746486	2035-02-13	0.42224174682246507	2241362.27	USD	CORP	DBT	SA
MAF Sukuk Ltd	N/A	MAF Sukuk Ltd	G5765UAC4	XS1991188548	2029-05-14	0.332947927766654	1767368.88	USD	CORP	DBT	KY
MAF Sukuk Ltd	N/A	MAF Sukuk Ltd	G5765UAD2	XS2069310865	2030-02-28	0.3230772739665299	1714973.04	USD	CORP	DBT	KY
MAF Sukuk Ltd	N/A	MAF Sukuk Ltd	N/A	XS2626291129	2033-06-01	0.2597317585066405	1378719.58	USD	CORP	DBT	IE
MAF Sukuk Ltd	N/A	MAF Sukuk Ltd	N/A	XS3213255998	2035-10-22	0.2471571597344738	1311970.54	USD	CORP	DBT	KY
Malaysia Sovereign Sukuk Bhd	N/A	Malaysia Sovereign Sukuk Bhd	Y5749LAB7	USY5749LAB72	2045-04-22	0.2611962446575275	1386493.43	USD	CORP	DBT	MY
Malaysia Sukuk Global Bhd	N/A	Malaysia Sukuk Global Bhd	Y54788AB3	USY54788AB31	2046-04-27	0.23855799606305994	1266324.08	USD	CORP	DBT	MY
Malaysia Wakala Sukuk Bhd	N/A	Malaysia Wakala Sukuk Bhd	Y57542AA3	USY57542AA32	2031-04-28	0.3678685410225756	1952736.02	USD	CORP	DBT	US
Malaysia Wakala Sukuk Bhd	N/A	Malaysia Wakala Sukuk Bhd	Y57542AB1	USY57542AB15	2051-04-28	0.19512595624604337	1035776.21	USD	CORP	DBT	US
MAR Finance LLC	N/A	MAR Finance LLC	N/A	XS3076272130	2030-05-29	0.2753536587277985	1461644.44	USD	CORP	DBT	QA
Mashreq AL Islami Sukuk Co Ltd	N/A	Mashreq AL Islami Sukuk Co Ltd	N/A	XS3055735073	2030-04-22	0.28110439273833693	1492170.74	USD	CORP	DBT	KY
Mazoon Assets Co SAOC	N/A	Mazoon Assets Co SAOC	N/A	XS1577945824	2027-11-08	0.27046323744899065	1435684.89	USD	CORP	DBT	OM
Mazoon Assets Co SAOC	N/A	Mazoon Assets Co SAOC	N/A	XS2764876475	2029-02-14	0.27414168922263676	1455211.01	USD	CORP	DBT	OM
Mazoon Assets Co SAOC	N/A	Mazoon Assets Co SAOC	N/A	XS2907977131	2031-10-09	0.4302766146679896	2284013.31	USD	CORP	DBT	OM
Mdgh Sukuk Ltd	N/A	Mdgh Sukuk Ltd	N/A	XS2797416760	2034-04-04	0.5483894737919109	2910985.2	USD	CORP	DBT	AE
Mdgh Sukuk Ltd	N/A	Mdgh Sukuk Ltd	N/A	XS3086825281	2035-06-04	0.5415615737976307	2874741.04	USD	CORP	DBT	AE
NATIONAL CENTRAL COOLING	254900E7M1Y3DXGQ1283	National Central Cooling Co PJSC	YR7945078	XS3013061489	2030-03-05	0.39061694280267795	2073490.09	USD	CORP	DBT	AE
Oman Sovereign Sukuk Co	N/A	Oman Sovereign Sukuk Co	N/A	XS2351310482	2030-06-15	0.970074543126883	5149392.49	USD	NUSS	DBT	OM
Oman Sovereign Sukuk Co	N/A	Oman Sovereign Sukuk Co	N/A	XS3204036696	2033-04-17	0.5500133648195881	2919605.21	USD	NUSS	DBT	OM
Otel Sukuk Ltd	N/A	Otel Sukuk Ltd	N/A	XS2695410832	2031-01-24	0.2734667108458581	1451628.06	USD	CORP	DBT	KY
